業種(飲食業）,業種（宿泊業）,施設名称,施設名称カナ,施設郵便番号,施設住所,施設住所(方書),認証日,施設住所市町村,緯度,経度
,〇,田麦荘,タムギソウ,9970532,鶴岡市田麦俣字清水尻12-6,,2021/10/6,鶴岡市,38.57373276,139.9208031
,〇,丹泉ホテル,タンセンホテル,9992211,南陽市赤湯988,,2021/8/2,南陽市,38.0505776,140.1689681
,〇,チェリーパークホテル,チェリーパークホテル,9910041,寒河江市大字寒河江字久保15-2,,2021/10/11,寒河江市,38.3636641,140.2582695
,〇,中央旅館,チュウオウリョカン,9980281,酒田市飛島字勝浦甲36,,2021/10/19,酒田市,39.1894491,139.548747
,〇,鳥海自然文化館　遊楽里,チョウカイシゼンブンカカンユラリ,9998531,遊佐町吹浦字西浜2-76,,2021/5/26,遊佐町,39.0666959,139.874333
,〇,鳥海山四合目雲上の宿　大平山荘,チョウカンサンヨンゴウメウンジョウノヤド　オオダイラサンソウ,9998521,遊佐町吹浦字鳥海山,,2021/6/14,遊佐町,39.0988592,140.0440705
,〇,つかさや旅館,ツカサヤリョカン,9970752,鶴岡市湯田川乙52,,2021/10/18,鶴岡市,38.69336679,139.7696527
,〇,月のホテル,ツキノホテル,9980023,酒田市幸町1-10-20,,2021/6/7,酒田市,38.92092508,139.8445405
,〇,つたや旅館,ツタヤリョカン,9991362,小国町緑町3-38,,2021/7/20,小国町,38.058467,139.748508
,〇,釣宿場　長者屋敷,ツリヤド　チョウジャヤシキ,9920472,南陽市宮内4402-28,,2021/8/30,南陽市,38.07023598,140.1564264
,〇,天童グランドホテル舞鶴荘,テンドウグランドホテルマイヅルソウ,9940025,天童市鎌田本町2-4-51,,2021/11/25,天童市,38.358693,140.3833514
,〇,天童セントラルホテル,テンドウセントラルホテル,9940034,天童市本町2-1-31,,2021/12/3,天童市,38.35946725,140.3716118
,〇,天童荘,テンドウソウ,9940024,天童市鎌田2-2-18,,2021/6/10,天童市,38.35896866,140.3863381
,〇,展望露天の湯 有馬館,テンボウロテンノユアリマカン,9993141,上山市新湯6-5,,2021/5/8,上山市,38.15777876,140.2724328
,〇,東京第一ホテル鶴岡,トウキョウダイイチホテルツルオカ,9970031,鶴岡市錦町2-10,,2021/7/21,鶴岡市,38.73900232,139.8327137
,〇,東横イン山形駅西口,トウヨコインヤマガタエキニシグチ,9900827,山形市城南町1-18-13,,2021/5/27,山形市,38.2503168,140.3238929
,〇,東横イン米沢駅前,トウヨコインヨネザワエキマエ,9920026,米沢市東3-5-28,,2021/7/5,米沢市,37.9068028,140.1283624
,〇,とまれ屋旅館,トマレヤリョカン,9960023,新庄市沖の町6-5,,2021/12/6,新庄市,38.76334531,140.3022749
,〇,中屋別館不動閣,ナカヤベッカンフドウカク,9921472,米沢市大字関1514,,2021/9/1,米沢市,37.78174255,140.1183417
,〇,滑川温泉　福島屋,ナメガワオンセン　フクシマヤ,9921303,米沢市大字大沢字滑川15,,2021/10/11,米沢市,37.78224084,140.2273306
,〇,奈良館,ナラカン,9970029,鶴岡市日吉町2-35,,2021/6/14,鶴岡市,38.7362183,139.8361782
,〇,ナリサワペンション,ナリサワペンション,9993114,上山市蔵王坊平高原,,2021/7/21,上山市,38.12544003,140.3936383
,〇,なんようグリーンヒル,ナンヨウグリーンヒル,9920478,南陽市竹原2768-28,,2021/9/8,南陽市,38.06972944,140.0983805
,〇,西本屋旅館,ニシモトヤリョカン,9960301,大蔵村南山522,,2021/7/14,大蔵村,38.60683567,140.1656573
,〇,日本の宿　古窯,ニッポンノヤドコヨウ,9993292,上山市葉山5-20,,2021/5/8,上山市,38.14807364,140.2612348
〇,〇,農家ペンション高瀬,ノウカペンションタカセ,9902241,山形市上東山939,,2021/11/15,山形市,38.27413072,140.4149832
,〇,農家民宿　阿部,ノウカミンシュク　アベ,9996403,戸沢村角川1469,,2021/9/3,戸沢村,38.6872244,140.1603731
,〇,農家民宿　果菜里庵,ノウカミンシュク　カナリアン,9995301,真室川町大字川の内2537,,2021/5/13,真室川町,38.8943879,140.2544909
,〇,農家民宿　三左衛門,ノウカミンシュク　サンザエモン,9996403,戸沢村大字角川1393-7,,2021/9/3,戸沢村,38.6818559,140.1647421
,〇,農家民宿　与惣右エ門,ノウカミンシュク　ヨソウエモン,9996403,戸沢村角川1200,,2021/9/3,戸沢村,38.6628414,140.1682402
,〇,農家民宿　若松屋,ノウカミンシュク　ワカマツヤ,9921471,米沢市大字立石8-1,,2021/6/10,米沢市,37.84643574,140.0900007
〇,〇,農家民宿安食　農家レストラン安食,ノウカミンシュクアジキ　ノウカレストランアジキ,9996314,戸沢村大字松坂348,,2021/8/16,戸沢村,38.7693342,140.1958243
〇,〇,農家民宿はちみつ屋,ノウカミンシュクハチミツヤ,9995521,真室川町大字大沢5599-2,,2021/6/17,真室川町,38.88656919,140.2135583
,〇,農家民宿ほたる,ノウカミンシュクホタル,9996403,戸沢村角川1314,,2021/9/29,戸沢村,38.6766106,140.1641691
,〇,農家民宿まつ乃,ノウカミンシュクマツノ,9995203,鮭川村大字川口956,,2021/8/26,鮭川村,38.7862663,140.2188202
,〇,野口ペンション,ノグチペンション,9993114,上山市永野字蔵王山国有林,,2021/7/30,上山市,38.12480987,140.3938865
